time,ax,ay,az,atotal
0.000,0.06,-0.08,0.04,0.11
0.010,0.03,-0.13,0.01,0.13
0.020,0.00,-0.07,0.04,0.08
0.030,0.03,-0.10,-0.01,0.10
0.040,0.00,-0.16,-0.04,0.16
0.050,0.07,-0.08,-0.03,0.11
0.060,0.12,0.02,-0.05,0.13
0.070,0.09,0.03,-0.02,0.09
0.081,0.09,0.04,0.04,0.11
0.091,0.13,0.06,-0.00,0.14
0.101,0.16,0.03,-0.02,0.16
0.111,0.17,0.04,0.02,0.17
0.121,0.18,0.02,0.04,0.19
0.131,0.24,0.29,-0.04,0.38
0.141,0.04,-0.10,0.00,0.11
0.151,0.13,-0.16,0.08,0.22
0.161,0.18,-0.05,0.06,0.19
0.171,0.19,-0.00,0.03,0.19
0.181,0.19,-0.01,0.00,0.19
0.191,0.17,0.01,0.03,0.17
0.201,0.16,-0.01,0.05,0.17
0.211,0.17,-0.06,0.08,0.20
0.221,0.18,-0.06,0.10,0.21
0.232,0.18,-0.00,0.07,0.19
0.242,0.17,0.03,0.07,0.19
0.252,0.22,0.09,0.05,0.25
0.262,0.25,0.07,0.04,0.26
0.272,0.20,-0.04,0.04,0.21
0.282,0.12,-0.08,0.07,0.16
0.292,0.06,-0.09,0.10,0.14
0.302,0.02,-0.02,0.10,0.10
0.312,0.12,-0.03,0.02,0.13
0.322,0.16,-0.19,0.06,0.25
0.332,0.17,-0.27,0.21,0.38
0.342,0.12,-0.25,0.19,0.34
0.352,0.12,-0.08,0.08,0.17
0.362,0.12,0.08,0.01,0.15
0.372,0.04,0.14,-0.04,0.15
0.383,0.09,0.10,-0.02,0.13
0.393,0.03,-0.01,0.02,0.04
0.403,-0.05,-0.11,0.09,0.15
0.413,-0.08,-0.14,0.14,0.21
0.423,-0.09,-0.12,0.13,0.20
0.433,-0.02,-0.06,0.09,0.11
0.443,0.03,0.03,0.06,0.07
0.453,0.08,-0.02,0.01,0.09
0.463,0.13,-0.11,-0.03,0.17
0.473,0.02,-0.08,0.04,0.10
0.483,-0.04,-0.03,0.10,0.11
0.493,0.04,0.01,0.15,0.16
0.503,0.08,0.04,0.14,0.16
0.513,0.07,0.03,0.08,0.11
0.524,0.06,-0.04,0.05,0.09
0.533,0.07,-0.16,0.10,0.20
0.544,0.12,-0.21,0.15,0.28
0.554,0.22,-0.15,0.21,0.34
0.564,0.25,-0.02,0.21,0.33
0.574,0.17,0.08,0.19,0.27
0.584,0.07,0.09,0.16,0.19
0.594,-0.01,0.06,0.14,0.16
0.604,-0.08,0.02,0.11,0.14
0.614,-0.10,-0.03,0.04,0.11
0.624,-0.07,-0.11,-0.03,0.13
0.634,-0.02,-0.16,-0.02,0.17
0.644,0.03,-0.16,0.00,0.16
0.654,0.06,-0.04,0.03,0.08
0.664,0.05,0.06,0.04,0.09
0.674,0.03,0.09,0.03,0.10
0.684,0.03,0.08,0.03,0.09
0.695,0.04,0.12,-0.01,0.12
0.705,0.07,0.10,-0.10,0.15
0.715,0.07,0.02,-0.12,0.14
0.725,0.03,-0.07,-0.11,0.13
0.735,0.00,-0.12,-0.08,0.15
0.745,-0.02,-0.10,-0.03,0.11
0.755,-0.03,-0.04,-0.03,0.06
0.765,-0.02,0.01,-0.01,0.03
0.775,0.05,0.02,-0.05,0.08
0.785,0.11,-0.01,-0.05,0.12
0.795,0.19,-0.01,-0.02,0.20
0.805,0.30,0.00,-0.05,0.30
0.815,0.35,-0.02,-0.09,0.37
0.825,0.35,-0.08,-0.14,0.39
0.835,0.26,-0.12,-0.12,0.31
0.845,0.16,-0.07,-0.10,0.20
0.855,0.14,0.02,-0.12,0.19
0.866,0.15,0.05,-0.11,0.20
0.876,0.20,0.03,-0.13,0.24
0.886,0.24,0.09,-0.21,0.33
0.896,0.06,-0.00,-0.20,0.21
0.906,0.08,-0.06,-0.10,0.14
0.916,0.17,0.06,-0.01,0.18
0.926,0.20,-0.09,0.04,0.23
0.936,0.24,-0.26,0.08,0.36
0.946,0.25,-0.05,0.11,0.28
0.956,0.36,0.06,0.04,0.37
0.966,0.34,-0.08,-0.08,0.36
0.976,0.17,-0.12,-0.09,0.23
0.986,0.06,-0.11,0.01,0.12
0.996,-0.01,-0.09,0.13,0.16
1.006,-0.06,-0.07,0.17,0.20
1.017,-0.05,-0.04,0.12,0.14
1.027,-0.10,0.09,0.02,0.14
1.037,0.05,0.24,0.13,0.28
1.047,0.12,0.19,0.21,0.31
1.057,0.03,-0.01,0.15,0.16
1.067,-0.03,-0.10,0.15,0.18
1.077,-0.05,-0.02,0.11,0.12
1.087,-0.03,0.05,0.10,0.11
1.097,0.03,0.05,0.07,0.09
1.107,0.15,0.07,0.06,0.18
1.117,0.21,0.06,0.04,0.22
1.127,0.16,0.03,-0.03,0.17
1.137,0.11,-0.01,-0.02,0.11
1.147,0.09,-0.06,0.03,0.12
1.157,0.10,-0.11,0.05,0.16
1.168,0.17,-0.12,0.07,0.23
1.178,0.22,-0.13,0.08,0.27
1.188,0.14,-0.17,0.07,0.24
1.198,0.04,-0.10,0.05,0.12
1.208,-0.02,0.01,0.01,0.02
1.218,-0.08,0.08,-0.04,0.12
1.228,-0.11,0.04,-0.09,0.15
1.238,-0.10,-0.02,-0.13,0.17
1.248,-0.09,-0.04,-0.16,0.19
1.258,-0.11,-0.08,-0.17,0.22
1.268,-0.16,-0.08,-0.16,0.24
1.278,-0.18,-0.03,-0.12,0.21
1.288,-0.21,0.02,-0.07,0.22
1.298,-0.18,0.04,-0.03,0.18
1.309,-0.11,0.07,0.03,0.13
1.318,-0.02,0.04,0.06,0.08
1.329,0.07,-0.03,0.03,0.09
1.339,0.12,-0.09,0.02,0.15
1.349,0.11,-0.16,0.05,0.20
1.359,0.10,-0.15,0.03,0.18
1.369,0.07,-0.10,0.01,0.13
1.379,0.07,-0.05,-0.01,0.09
1.389,0.09,0.02,-0.05,0.10
1.399,0.07,0.08,-0.07,0.13
1.409,0.03,0.08,-0.05,0.10
1.419,0.03,0.06,-0.01,0.06
1.429,0.04,-0.00,0.01,0.05
1.439,0.02,-0.02,0.02,0.04
1.449,0.05,0.03,0.07,0.09
1.460,0.16,0.02,0.11,0.20
1.470,0.19,-0.03,0.08,0.21
1.480,0.15,-0.03,0.03,0.15
1.490,0.18,0.02,0.11,0.21
1.500,0.26,-0.01,0.23,0.35
1.510,0.21,-0.13,0.23,0.34
1.520,0.17,-0.14,0.19,0.29
1.530,0.17,-0.07,0.14,0.23
1.540,0.16,-0.03,0.08,0.18
1.550,0.12,-0.05,0.02,0.13
1.560,0.12,-0.05,0.04,0.13
1.570,0.16,-0.05,0.08,0.19
1.580,0.18,-0.03,0.09,0.21
1.590,0.18,0.04,0.02,0.18
1.600,0.14,0.05,-0.03,0.15
1.610,0.09,-0.03,-0.05,0.10
1.620,0.05,-0.04,-0.03,0.07
1.631,0.03,-0.04,0.01,0.05
1.641,0.02,-0.07,0.06,0.10
1.651,0.03,-0.07,0.09,0.12
1.661,-0.00,-0.05,0.06,0.08
1.671,0.00,-0.02,0.02,0.03
1.681,0.05,0.02,0.03,0.06
1.691,0.09,0.00,0.05,0.10
1.701,0.11,-0.02,0.05,0.12
1.711,0.11,-0.04,0.02,0.12
1.721,0.05,-0.07,0.00,0.08
1.731,0.01,-0.07,0.03,0.07
1.741,0.01,-0.04,0.06,0.07
1.751,0.03,-0.02,0.06,0.07
1.761,0.05,-0.04,0.02,0.07
1.771,0.04,0.00,-0.02,0.05
1.781,0.05,0.04,0.01,0.06
1.792,0.07,0.05,0.02,0.09
1.802,0.05,0.02,0.04,0.07
1.812,0.04,0.01,0.04,0.06
1.822,0.06,-0.01,0.02,0.06
1.832,0.09,-0.04,0.03,0.10
1.842,0.14,-0.10,0.03,0.18
1.852,0.15,-0.12,0.04,0.20
1.862,0.15,-0.15,0.09,0.24
1.872,0.13,-0.18,0.14,0.26
1.882,0.09,-0.17,0.18,0.26
1.892,0.10,-0.16,0.16,0.25
1.902,0.15,-0.09,0.10,0.20
1.912,0.16,0.02,0.02,0.16
1.922,0.15,0.07,-0.12,0.21
1.932,0.04,0.08,-0.18,0.20
1.942,-0.11,0.06,-0.14,0.19
1.953,-0.17,0.05,-0.07,0.20
1.963,-0.13,0.03,-0.04,0.14
1.973,-0.05,0.05,-0.05,0.09
1.983,0.02,0.02,-0.07,0.08
1.993,0.03,-0.03,-0.07,0.08
2.003,0.04,-0.07,-0.05,0.09
2.013,-0.00,-0.09,0.01,0.09
2.023,0.00,-0.03,0.12,0.12
2.033,0.13,0.01,0.20,0.23
2.043,0.18,-0.03,0.18,0.26
2.053,0.18,-0.04,0.17,0.25
2.063,0.17,-0.03,0.16,0.23
2.073,0.15,0.00,0.12,0.19
2.083,0.22,-0.01,0.10,0.24
2.094,0.27,-0.07,0.11,0.30
2.104,0.29,-0.11,0.10,0.32
2.114,0.29,-0.12,0.07,0.32
2.124,0.26,-0.12,0.09,0.30
2.134,0.23,-0.09,0.09,0.27
2.144,0.20,-0.06,0.05,0.22
2.154,0.13,-0.08,-0.01,0.16
2.164,0.05,-0.05,0.01,0.07
2.174,0.06,-0.04,-0.03,0.07
2.184,0.08,0.05,-0.07,0.12
2.194,0.02,0.03,-0.06,0.08
2.204,0.05,0.07,-0.03,0.10
2.214,0.10,0.11,-0.06,0.16
2.224,0.07,0.08,-0.10,0.14
2.235,0.07,0.00,-0.04,0.08
2.245,0.06,-0.05,0.02,0.08
2.255,0.09,-0.07,0.07,0.13
2.265,0.15,-0.04,0.08,0.17
2.275,0.17,-0.01,0.08,0.19
2.285,0.15,-0.00,0.08,0.17
2.295,0.12,-0.01,0.10,0.16
2.305,0.13,-0.02,0.09,0.16
2.315,0.12,-0.03,0.09,0.15
2.325,0.14,0.02,0.10,0.17
2.335,0.17,0.01,0.05,0.18
2.345,0.14,-0.07,0.01,0.16
2.355,0.10,-0.09,-0.00,0.13
2.365,0.06,-0.11,-0.01,0.13
2.375,0.02,-0.08,-0.03,0.09
2.386,0.02,-0.02,-0.06,0.07
2.396,-0.03,0.01,-0.07,0.08
2.406,-0.06,0.02,-0.12,0.14
2.416,-0.10,0.01,-0.11,0.15
2.426,-0.08,0.01,-0.10,0.13
2.436,-0.06,0.03,-0.09,0.11
2.446,0.00,0.07,-0.08,0.11
2.456,0.03,0.09,-0.07,0.12
2.466,0.03,0.05,-0.07,0.09
2.476,0.03,-0.00,-0.09,0.10
2.486,-0.01,-0.04,-0.11,0.12
2.496,-0.04,-0.03,-0.11,0.12
2.506,-0.04,-0.02,-0.08,0.09
2.516,-0.01,-0.04,-0.04,0.05
2.526,0.03,-0.05,-0.04,0.07
2.536,0.08,-0.05,-0.03,0.09
2.546,0.16,-0.02,-0.05,0.17
2.557,0.19,0.02,-0.09,0.21
2.567,0.20,0.03,-0.11,0.23
2.577,0.21,0.02,-0.07,0.23
2.587,0.23,-0.03,-0.02,0.23
2.597,0.16,-0.06,0.04,0.18
2.607,0.19,-0.08,0.05,0.21
2.617,0.24,-0.05,0.04,0.24
2.627,0.26,-0.01,0.01,0.26
2.637,0.29,0.04,0.02,0.29
2.647,0.29,0.07,0.01,0.30
2.657,0.28,0.04,-0.01,0.28
2.667,0.24,-0.03,-0.04,0.24
2.677,0.19,-0.07,-0.06,0.21
2.687,0.18,-0.11,-0.02,0.21
2.697,0.15,-0.11,-0.00,0.19
2.707,0.13,-0.10,0.03,0.17
2.717,0.12,-0.04,0.02,0.13
2.728,0.08,0.01,-0.01,0.08
2.738,0.04,0.01,-0.01,0.04
2.748,0.03,0.02,-0.03,0.05
2.758,0.01,0.02,-0.03,0.04
2.768,0.02,0.03,0.01,0.03
2.778,0.02,0.05,-0.02,0.06
2.788,0.01,0.01,-0.03,0.04
2.798,0.02,-0.02,0.01,0.03
2.808,0.01,-0.04,0.01,0.04
2.818,-0.02,-0.05,-0.02,0.05
2.828,-0.00,-0.06,0.02,0.07
2.838,-0.01,-0.09,0.01,0.10
2.848,-0.03,-0.09,0.00,0.09
2.859,-0.01,-0.05,-0.04,0.07
2.868,-0.04,-0.00,-0.04,0.05
2.879,-0.07,0.05,-0.04,0.09
2.889,-0.06,0.09,-0.07,0.13
2.899,-0.04,0.07,-0.12,0.14
2.909,-0.05,0.02,-0.12,0.13
2.919,-0.04,-0.04,-0.09,0.10
2.929,-0.00,-0.06,-0.04,0.07
2.939,-0.00,-0.08,-0.02,0.08
2.949,-0.03,-0.05,-0.08,0.10
2.959,-0.05,0.01,-0.14,0.15
2.969,-0.06,0.08,-0.13,0.16
2.979,-0.03,0.09,-0.09,0.13
2.989,0.00,0.07,-0.05,0.09
2.999,0.04,0.04,-0.04,0.07
3.009,0.06,-0.01,-0.05,0.08
3.019,0.05,-0.05,-0.09,0.11
3.029,0.01,-0.07,-0.11,0.13
3.040,-0.00,-0.08,-0.08,0.11
3.049,0.01,-0.09,-0.04,0.10
3.060,0.03,-0.11,-0.05,0.12
3.070,0.02,-0.08,-0.07,0.11
3.080,0.05,-0.00,-0.04,0.06
3.090,0.04,0.07,-0.04,0.09
3.100,0.02,0.11,-0.06,0.12
3.110,0.03,0.08,-0.07,0.11
3.120,0.03,0.00,-0.09,0.09
3.130,0.04,-0.04,-0.07,0.09
3.140,0.05,-0.06,-0.05,0.09
3.150,0.02,-0.07,-0.05,0.09
3.160,0.02,-0.05,-0.04,0.07
3.170,0.01,-0.02,0.01,0.02
3.181,0.05,0.01,0.01,0.05
3.191,0.09,0.04,0.02,0.10
3.201,0.10,0.05,0.05,0.12
3.211,0.12,0.00,0.05,0.13
3.221,0.11,-0.04,0.07,0.14
3.231,0.13,-0.08,0.09,0.18
3.241,0.16,-0.11,0.11,0.22
3.251,0.15,-0.10,0.08,0.20
3.261,0.13,-0.08,0.03,0.16
3.271,0.08,-0.05,-0.01,0.10
3.281,0.05,-0.03,-0.02,0.06
3.291,0.00,0.00,-0.04,0.04
3.301,-0.03,0.05,-0.06,0.08
3.311,-0.04,0.06,-0.05,0.09
3.321,-0.05,0.03,-0.03,0.06
3.331,-0.04,-0.01,0.00,0.04
3.341,-0.00,-0.03,0.05,0.06
3.351,0.06,-0.00,0.03,0.06
3.362,0.08,0.03,0.04,0.10
3.372,0.09,0.00,0.05,0.10
3.382,0.06,-0.03,0.03,0.07
3.392,0.01,-0.06,0.03,0.07
3.402,0.00,-0.09,0.09,0.13
3.412,0.02,-0.11,0.09,0.15
3.422,0.04,-0.09,0.06,0.12
3.432,0.04,-0.05,0.03,0.07
3.442,0.02,-0.03,0.01,0.04
3.452,0.01,0.01,-0.01,0.01
3.462,-0.01,0.01,0.00,0.01
3.472,0.02,-0.02,0.01,0.03
3.482,0.01,-0.00,0.02,0.03
3.492,0.04,0.02,0.04,0.06
3.503,0.08,0.01,0.04,0.09
3.513,0.08,-0.03,0.02,0.09
3.523,0.05,-0.03,0.01,0.06
3.533,0.03,-0.02,0.00,0.03
3.543,0.02,-0.03,-0.01,0.03
3.553,0.01,-0.03,-0.01,0.03
3.563,0.02,-0.03,0.01,0.04
3.573,0.05,-0.06,0.02,0.08
3.583,0.07,-0.06,0.02,0.09
3.593,0.07,-0.03,0.01,0.08
3.603,0.08,0.00,-0.00,0.08
3.613,0.05,0.01,-0.00,0.05
3.623,0.05,0.00,0.02,0.06
3.633,0.04,-0.03,0.05,0.07
3.643,0.06,-0.06,0.05,0.10
3.653,0.09,-0.07,0.06,0.13
3.664,0.12,-0.06,0.03,0.14
3.674,0.11,-0.03,0.00,0.11
3.684,0.05,-0.03,-0.02,0.06
3.694,0.02,-0.00,-0.01,0.03
3.704,0.00,-0.00,-0.01,0.01
3.714,0.01,-0.03,-0.02,0.04
3.724,0.04,-0.00,-0.03,0.05
3.734,0.09,0.01,-0.02,0.09
3.744,0.13,-0.02,-0.03,0.14
3.754,0.14,-0.04,-0.02,0.15
3.764,0.12,-0.04,0.02,0.13
3.774,0.11,-0.02,0.07,0.13
