time,ax,ay,az,atotal
1.498,-0.04,-0.22,-0.13,0.26
1.508,-0.02,-0.24,-0.12,0.27
1.518,-0.04,-0.20,-0.05,0.21
1.528,-0.00,-0.03,0.02,0.04
1.538,0.08,0.17,0.04,0.19
1.549,0.10,0.27,0.08,0.30
1.558,0.07,0.24,0.08,0.26
1.569,0.11,0.11,0.12,0.20
1.579,0.18,-0.06,0.16,0.24
1.589,0.24,-0.17,0.17,0.34
1.599,0.29,-0.18,0.17,0.39
1.609,0.29,-0.13,0.10,0.33
1.619,0.24,-0.09,0.04,0.26
1.629,0.17,-0.08,0.04,0.20
1.639,0.07,-0.07,0.06,0.12
1.649,0.00,-0.05,0.08,0.09
1.659,-0.01,0.01,0.01,0.02
1.669,-0.01,0.03,-0.09,0.09
1.679,-0.07,-0.01,-0.19,0.20
1.689,-0.16,0.04,-0.24,0.29
1.699,-0.21,0.14,-0.24,0.35
1.709,-0.06,0.29,-0.08,0.31
1.719,0.17,0.27,0.20,0.38
1.730,0.15,-0.00,0.32,0.35
1.740,0.10,-0.16,0.23,0.30
1.750,0.11,-0.16,0.14,0.24
1.760,0.07,-0.20,0.07,0.22
1.770,-0.03,-0.20,0.02,0.20
1.780,-0.06,-0.13,-0.03,0.14
1.790,-0.04,-0.02,-0.07,0.08
1.800,-0.01,0.11,-0.09,0.15
1.810,0.10,0.19,-0.06,0.22
1.820,0.18,0.10,-0.01,0.21
1.830,0.26,-0.03,0.06,0.27
1.840,0.31,-0.13,0.08,0.34
1.850,0.27,-0.17,0.06,0.32
1.860,0.21,-0.19,0.12,0.31
1.870,0.18,-0.11,0.26,0.34
1.880,0.13,-0.02,0.23,0.27
1.890,0.09,0.05,0.11,0.15
1.900,0.06,0.03,0.00,0.07
1.910,0.05,-0.03,-0.01,0.06
1.920,0.03,-0.11,0.01,0.11
1.931,0.02,-0.15,0.07,0.16
1.941,0.06,-0.10,0.08,0.14
1.951,0.08,-0.06,0.03,0.10
1.961,0.16,-0.03,-0.05,0.17
1.971,0.18,-0.04,-0.10,0.21
1.981,0.13,-0.05,-0.15,0.20
1.991,0.11,-0.01,-0.17,0.20
2.001,0.04,0.07,-0.13,0.16
2.011,0.01,0.15,-0.15,0.21
2.021,-0.02,0.10,-0.19,0.22
2.031,-0.14,-0.01,-0.20,0.24
2.041,-0.26,-0.05,-0.14,0.30
2.051,-0.28,-0.06,-0.09,0.30
2.061,-0.25,-0.09,-0.01,0.27
2.071,-0.21,-0.10,0.04,0.24
2.081,-0.18,-0.14,0.01,0.23
2.092,-0.17,-0.10,-0.02,0.19
2.101,-0.12,0.03,-0.07,0.14
2.112,-0.06,0.11,-0.11,0.17
2.122,0.03,0.17,-0.13,0.22
2.132,0.12,0.16,-0.21,0.29
2.142,0.12,0.07,-0.29,0.32
2.152,0.06,0.02,-0.30,0.31
2.162,-0.04,0.01,-0.30,0.30
2.172,-0.11,-0.04,-0.20,0.23
2.182,-0.16,-0.11,-0.06,0.21
2.192,-0.18,-0.11,0.03,0.22
2.202,-0.19,-0.03,0.06,0.20
2.212,-0.13,0.03,0.03,0.14
2.222,-0.06,0.02,-0.03,0.07
2.232,0.03,0.02,-0.03,0.05
2.242,0.16,-0.04,-0.01,0.16
2.253,0.26,-0.13,0.01,0.29
2.262,0.30,-0.15,0.03,0.33
2.273,0.30,-0.17,0.04,0.35
2.283,0.27,-0.14,0.07,0.31
2.293,0.26,-0.05,0.04,0.26
2.303,0.21,-0.03,-0.00,0.21
2.313,0.14,-0.02,-0.02,0.14
2.323,0.09,-0.03,-0.03,0.10
2.333,0.06,0.00,0.03,0.07
2.343,0.12,0.09,0.10,0.18
2.353,0.16,0.11,0.14,0.24
2.363,0.11,0.06,0.10,0.16
2.373,0.05,-0.00,0.06,0.08
2.383,-0.03,-0.04,0.03,0.05
2.393,-0.01,-0.02,0.00,0.02
2.403,-0.09,-0.03,0.03,0.10
2.413,0.02,0.01,0.04,0.05
2.423,0.04,-0.03,0.03,0.06
2.433,-0.01,-0.03,0.02,0.04
2.443,-0.03,-0.03,0.00,0.05
2.453,-0.08,-0.05,0.03,0.10
2.464,-0.03,-0.07,0.07,0.10
2.474,0.10,-0.07,0.08,0.15
2.484,0.17,-0.07,0.02,0.19
2.494,0.18,-0.05,-0.07,0.20
2.504,0.11,0.00,-0.11,0.15
2.514,-0.01,0.07,-0.07,0.10
2.524,-0.07,0.11,0.02,0.13
2.534,-0.07,0.11,0.07,0.15
2.544,-0.02,0.06,0.08,0.10
2.554,0.00,-0.06,0.06,0.09
2.564,0.04,-0.12,0.03,0.13
2.574,0.07,-0.13,0.06,0.16
2.584,0.09,-0.10,0.05,0.14
2.594,0.11,-0.04,0.06,0.13
2.604,0.09,-0.00,0.04,0.10
2.614,0.02,-0.02,-0.01,0.03
2.624,-0.04,-0.05,-0.02,0.06
2.635,-0.05,-0.07,-0.01,0.08
2.645,-0.02,-0.06,0.00,0.06
2.655,0.02,-0.03,0.01,0.03
2.665,0.03,0.01,0.03,0.04
2.675,0.07,0.03,0.05,0.09
2.685,0.02,0.01,0.04,0.04
2.695,-0.00,-0.04,0.02,0.05
2.705,0.03,-0.08,-0.02,0.08
2.715,0.04,-0.07,-0.05,0.09
2.725,0.05,-0.05,-0.04,0.08
2.735,0.05,-0.02,-0.04,0.07
2.745,0.04,-0.01,-0.02,0.05
2.755,0.02,0.02,-0.00,0.03
2.765,0.05,0.05,0.00,0.07
2.775,0.08,0.02,-0.02,0.08
2.785,0.08,-0.04,-0.06,0.10
2.796,0.06,-0.08,-0.08,0.13
2.805,0.08,-0.11,-0.06,0.15
2.816,0.06,-0.10,0.01,0.12
2.825,0.06,-0.08,0.02,0.10
2.836,0.03,-0.01,0.00,0.03
2.846,0.02,0.02,-0.06,0.07
2.856,-0.01,0.02,-0.09,0.09
2.866,-0.00,0.00,-0.08,0.08
2.876,0.02,-0.02,-0.05,0.06
2.886,0.06,-0.02,-0.02,0.06
2.896,0.10,0.00,-0.04,0.10
2.906,0.10,0.01,-0.04,0.11
2.916,0.07,0.01,-0.05,0.09
2.926,0.04,-0.02,-0.03,0.06
2.936,0.01,-0.05,0.02,0.05
2.946,0.03,-0.07,0.05,0.09
