time,ax,ay,az,atotal
0.000,0.09,0.20,-0.20,0.30
0.010,-0.07,0.27,-0.28,0.39
0.020,-0.14,0.12,-0.27,0.32
0.030,-0.16,-0.01,-0.21,0.27
0.040,-0.13,-0.09,-0.10,0.18
0.050,-0.12,-0.13,-0.00,0.18
0.060,-0.11,-0.10,0.05,0.16
0.070,-0.05,-0.00,0.05,0.07
0.080,-0.02,0.05,0.02,0.06
0.091,0.01,0.01,-0.06,0.06
0.101,0.05,-0.06,-0.07,0.11
0.111,0.13,-0.10,-0.00,0.17
0.121,0.22,-0.10,0.02,0.24
0.131,0.27,-0.04,-0.01,0.27
0.141,0.23,0.04,-0.04,0.24
0.151,0.19,0.07,-0.09,0.22
0.161,0.11,0.09,-0.09,0.17
0.171,0.05,0.03,-0.07,0.09
0.181,-0.01,-0.06,-0.08,0.10
0.191,-0.01,-0.12,-0.05,0.13
0.201,0.03,-0.13,-0.02,0.13
0.211,0.07,-0.10,0.02,0.12
0.221,0.05,-0.06,0.01,0.08
0.231,0.08,-0.03,0.01,0.09
0.241,0.11,-0.01,0.00,0.11
0.251,0.12,0.01,-0.01,0.12
0.261,0.14,0.01,-0.00,0.14
0.272,0.13,0.04,0.03,0.14
0.282,0.07,0.06,0.03,0.10
0.292,-0.03,0.04,0.05,0.07
0.302,-0.08,-0.04,0.05,0.10
0.312,-0.09,-0.09,0.10,0.16
0.322,-0.08,-0.08,0.14,0.18
0.332,-0.08,-0.04,0.12,0.15
0.342,-0.14,0.01,0.08,0.16
0.352,-0.16,0.02,0.08,0.18
0.362,-0.12,-0.03,0.12,0.17
0.372,-0.16,-0.07,0.18,0.25
0.382,-0.09,-0.06,0.22,0.25
0.392,0.00,-0.01,0.23,0.23
0.402,0.05,-0.04,0.24,0.25
0.412,0.08,-0.15,0.22,0.28
0.422,0.04,-0.22,0.22,0.31
0.432,-0.01,-0.16,0.20,0.26
0.442,0.03,-0.08,0.19,0.20
0.453,0.08,0.02,0.15,0.17
0.462,0.11,0.05,0.15,0.19
0.473,0.11,0.00,0.17,0.20
0.483,-0.05,0.06,0.20,0.22
0.493,0.14,-0.03,0.20,0.25
0.503,0.20,-0.09,0.20,0.30
0.513,0.07,-0.09,0.21,0.23
0.523,-0.18,0.12,0.24,0.32
0.533,-0.15,0.04,0.12,0.19
0.543,-0.14,-0.11,0.03,0.18
0.553,-0.16,-0.19,0.02,0.25
0.563,-0.07,-0.21,0.04,0.23
0.573,0.00,-0.03,0.10,0.10
0.583,0.12,0.03,-0.00,0.12
0.593,-0.01,-0.02,-0.07,0.08
0.603,-0.09,-0.16,-0.09,0.21
0.613,-0.07,-0.12,0.01,0.14
0.623,0.00,-0.04,0.07,0.08
0.634,0.03,-0.08,0.14,0.17
0.645,0.19,-0.07,0.15,0.25
0.654,0.35,-0.06,0.13,0.38
0.664,0.40,-0.15,0.04,0.43
0.674,0.64,-0.05,0.04,0.64
0.684,0.32,-0.12,-0.12,0.36
0.694,0.16,-0.14,-0.07,0.22
0.704,0.22,-0.07,0.00,0.23
0.714,0.20,0.02,0.01,0.20
0.724,0.24,0.13,-0.08,0.28
0.734,0.16,0.09,-0.13,0.22
0.744,0.23,0.06,-0.09,0.26
0.754,0.28,0.09,-0.04,0.29
0.764,0.42,0.11,0.01,0.44
0.774,0.49,0.09,-0.02,0.49
0.784,0.53,0.06,-0.01,0.53
0.794,0.49,0.00,-0.01,0.49
0.805,0.43,-0.07,0.00,0.43
0.815,0.34,-0.09,0.03,0.35
