time,ax,ay,az,atotal
0.000,0.04,0.01,0.01,0.05
0.010,0.06,-0.02,-0.05,0.08
0.020,0.05,-0.07,0.01,0.09
0.030,0.07,-0.11,0.07,0.15
0.040,0.08,-0.13,0.04,0.16
0.050,0.11,-0.09,-0.01,0.14
0.060,0.11,-0.02,-0.02,0.12
0.070,0.11,0.02,-0.02,0.12
0.080,0.11,0.02,0.02,0.12
0.091,0.14,0.00,0.09,0.16
0.101,0.12,-0.03,0.07,0.14
0.111,0.09,-0.07,0.06,0.13
0.121,0.08,-0.07,0.04,0.12
0.131,0.06,-0.06,0.01,0.09
0.141,0.03,-0.05,0.04,0.07
0.151,0.02,-0.09,0.10,0.13
0.161,0.02,-0.13,0.15,0.20
0.171,0.01,-0.14,0.16,0.21
0.181,0.02,-0.11,0.15,0.18
0.191,0.04,-0.05,0.09,0.11
0.201,0.12,0.12,0.02,0.18
0.211,0.07,0.17,-0.07,0.20
0.221,0.15,0.51,-0.28,0.60
0.231,-0.02,0.98,-0.50,1.11
0.241,-0.37,-0.12,-0.22,0.45
0.251,0.01,-0.30,0.05,0.30
0.262,0.14,-0.23,0.20,0.33
0.271,0.20,-0.25,0.19,0.38
0.282,0.29,-0.24,0.12,0.40
0.292,0.32,-0.16,0.05,0.36
0.302,0.34,-0.11,-0.03,0.36
0.312,0.31,-0.02,-0.03,0.31
0.322,0.25,0.05,-0.02,0.25
0.332,0.15,0.06,-0.06,0.17
0.342,0.06,0.05,-0.05,0.09
0.352,0.02,0.02,-0.04,0.04
0.362,0.02,0.01,-0.05,0.06
0.372,0.02,0.03,0.01,0.03
0.382,0.01,-0.03,0.09,0.10
0.392,0.02,-0.11,0.14,0.18
0.402,0.04,-0.15,0.17,0.23
0.412,0.07,-0.11,0.21,0.24
0.422,0.11,0.01,0.26,0.28
0.432,0.13,0.01,0.14,0.19
0.443,0.09,-0.03,-0.10,0.13
0.453,0.09,-0.03,-0.01,0.09
0.463,0.08,-0.05,0.05,0.10
0.473,0.12,-0.05,0.06,0.14
0.483,0.06,-0.03,-0.06,0.09
0.493,0.14,-0.02,-0.05,0.15
0.503,0.07,-0.08,0.03,0.11
0.513,0.08,-0.13,-0.10,0.18
0.523,0.16,-0.02,-0.03,0.17
0.533,0.11,0.08,0.00,0.14
0.543,0.08,0.08,-0.06,0.13
0.553,0.05,0.09,-0.10,0.14
0.563,-0.01,0.09,-0.10,0.14
0.573,-0.01,0.06,-0.06,0.09
0.583,-0.02,0.02,-0.04,0.04
0.593,0.02,-0.00,-0.01,0.02
0.603,0.03,-0.02,0.02,0.04
0.613,0.05,-0.06,0.02,0.08
0.624,0.05,-0.09,0.05,0.11
0.634,0.06,-0.10,0.06,0.14
0.644,0.06,-0.08,0.03,0.11
0.654,0.08,-0.03,0.03,0.09
0.664,0.08,-0.00,0.02,0.08
0.674,0.08,0.02,0.01,0.08
0.684,0.07,0.02,0.03,0.08
0.694,0.06,0.00,-0.01,0.06
0.704,0.05,-0.02,-0.01,0.06
0.714,0.05,-0.05,0.02,0.08
0.724,0.05,-0.06,0.05,0.09
0.734,0.09,-0.03,-0.04,0.10
0.744,0.09,0.01,-0.15,0.17
0.754,0.08,0.07,-0.27,0.29
0.764,0.04,0.14,-0.36,0.39
0.774,-0.04,0.16,-0.36,0.40
0.784,-0.18,0.14,-0.28,0.36
0.794,-0.21,0.13,-0.14,0.29
0.805,-0.15,0.11,-0.05,0.20
0.815,-0.04,0.05,0.00,0.06
0.825,0.05,-0.01,0.02,0.06
0.835,0.10,-0.04,-0.01,0.11
0.845,0.09,-0.06,-0.03,0.11
0.855,0.09,-0.06,-0.06,0.12
0.865,0.04,-0.06,-0.12,0.14
0.875,-0.08,-0.06,-0.08,0.13
0.885,-0.18,-0.04,-0.04,0.18
0.895,-0.24,-0.04,-0.05,0.25
0.905,-0.21,-0.03,-0.08,0.23
0.915,-0.11,-0.03,-0.10,0.15
0.925,0.02,-0.02,-0.10,0.11
0.935,0.16,-0.04,-0.09,0.19
0.945,0.23,-0.11,-0.02,0.25
0.955,0.21,-0.11,0.11,0.26
0.966,0.23,-0.10,0.24,0.35
0.975,0.27,-0.10,0.31,0.42
0.985,0.42,-0.10,0.36,0.56
0.996,0.56,-0.06,0.34,0.66
1.006,0.59,-0.01,0.22,0.62
1.016,0.48,-0.03,0.05,0.48
