time,ax,ay,az,atotal
1.498,0.15,0.01,0.02,0.15
1.508,0.15,-0.01,0.01,0.15
1.518,0.10,-0.04,0.01,0.11
1.529,0.05,-0.04,0.02,0.07
1.539,0.03,-0.03,0.06,0.07
1.548,0.03,-0.06,0.06,0.09
1.559,0.06,-0.06,0.06,0.10
1.569,0.06,-0.03,0.05,0.09
1.579,0.05,-0.03,0.05,0.07
1.589,0.03,-0.00,0.06,0.07
1.599,0.02,-0.00,0.07,0.07
1.609,0.01,-0.00,0.07,0.07
1.619,0.01,-0.02,0.07,0.07
1.629,0.01,-0.04,0.03,0.05
1.639,0.00,-0.03,-0.03,0.04
1.649,0.00,0.01,-0.06,0.06
1.659,0.00,0.05,-0.06,0.08
1.669,0.03,0.05,-0.03,0.06
1.679,0.05,0.04,-0.02,0.07
1.689,0.07,0.04,-0.03,0.08
1.699,0.01,0.00,-0.03,0.03
1.709,-0.01,-0.03,-0.03,0.04
1.720,-0.01,-0.03,-0.02,0.04
1.730,0.01,-0.02,-0.01,0.03
1.740,0.02,-0.02,0.00,0.03
1.750,0.06,-0.00,0.02,0.07
1.760,0.09,-0.01,0.04,0.10
1.770,0.10,-0.03,0.03,0.11
1.780,0.08,-0.02,-0.00,0.09
1.790,0.07,-0.01,-0.05,0.08
1.800,0.06,0.03,-0.09,0.11
1.810,0.02,0.05,-0.11,0.12
1.820,0.02,0.05,-0.10,0.11
1.830,0.02,0.04,-0.08,0.10
1.840,0.02,0.02,-0.05,0.06
1.850,0.05,-0.01,-0.03,0.06
1.860,0.04,-0.02,-0.04,0.06
1.871,0.05,-0.00,-0.02,0.05
1.880,0.04,0.00,-0.00,0.04
1.891,0.03,0.03,0.02,0.04
1.901,0.02,0.04,-0.00,0.04
1.911,-0.01,0.03,-0.02,0.04
1.921,-0.04,-0.01,-0.01,0.04
1.931,-0.04,-0.02,0.02,0.05
1.941,-0.01,-0.05,0.03,0.06
1.951,0.05,-0.06,0.05,0.09
1.961,0.09,-0.02,0.04,0.10
1.971,0.11,-0.02,0.01,0.11
1.981,0.10,-0.02,0.02,0.10
1.991,0.07,-0.03,0.03,0.08
2.001,0.03,-0.01,0.03,0.05
2.011,0.01,-0.00,0.02,0.03
2.021,0.02,0.03,0.00,0.04
2.031,0.04,0.03,-0.00,0.05
2.041,0.07,0.00,-0.01,0.07
2.051,0.05,0.01,-0.03,0.06
2.062,0.03,0.00,0.00,0.03
2.072,0.03,-0.03,0.01,0.04
2.082,0.01,-0.08,0.03,0.08
2.092,0.04,-0.07,0.03,0.09
2.102,0.08,-0.08,0.04,0.12
2.112,0.09,-0.04,0.03,0.10
2.122,0.08,-0.02,0.02,0.08
2.132,0.06,0.00,0.02,0.06
