time,ax,ay,az,atotal
0.000,-0.03,0.19,-0.09,0.21
0.010,0.01,0.10,-0.05,0.11
0.020,0.10,-0.05,0.02,0.12
0.030,0.15,-0.14,0.06,0.21
0.040,0.14,-0.19,0.07,0.25
0.050,0.18,-0.19,0.07,0.27
0.060,0.19,-0.13,0.04,0.23
0.070,0.16,-0.02,0.03,0.17
0.080,0.11,0.04,-0.01,0.12
0.090,0.07,0.05,0.01,0.09
0.101,0.04,0.01,0.02,0.05
0.111,0.03,-0.01,-0.01,0.03
0.121,-0.01,0.00,-0.03,0.03
0.131,-0.02,-0.01,0.02,0.03
0.141,0.01,-0.05,0.04,0.07
0.151,0.03,-0.05,0.06,0.08
0.161,-0.00,0.01,0.01,0.01
0.171,-0.01,0.04,-0.01,0.04
0.181,0.05,0.01,-0.01,0.05
0.191,0.09,-0.02,-0.03,0.10
0.201,0.10,-0.04,-0.02,0.11
0.211,0.11,-0.05,0.02,0.12
0.221,0.12,-0.06,0.02,0.14
0.231,0.11,-0.06,0.01,0.13
0.241,0.09,-0.05,0.01,0.10
0.251,0.06,-0.03,0.05,0.08
0.262,0.03,-0.02,0.11,0.12
0.272,0.02,-0.02,0.12,0.12
0.282,0.02,-0.00,0.07,0.08
0.292,0.02,0.01,0.05,0.05
0.302,0.04,-0.06,0.03,0.08
0.312,0.07,-0.07,0.03,0.10
0.322,0.08,-0.05,-0.02,0.10
0.332,0.07,-0.02,-0.04,0.08
0.342,0.02,0.01,0.03,0.04
0.352,-0.01,0.06,0.05,0.08
0.362,0.01,0.04,0.07,0.08
0.372,0.04,0.04,0.03,0.07
0.382,0.07,0.02,0.01,0.07
0.392,0.10,0.01,-0.01,0.11
0.402,0.09,-0.01,-0.04,0.10
0.412,0.08,-0.01,-0.06,0.10
0.422,0.06,-0.02,-0.09,0.11
0.433,0.07,-0.02,-0.03,0.08
0.442,0.09,-0.04,0.07,0.12
0.453,0.13,-0.06,0.11,0.18
0.463,0.15,-0.05,0.13,0.21
0.473,0.14,-0.02,0.13,0.19
0.483,0.10,-0.04,0.06,0.12
0.493,0.06,-0.04,0.00,0.07
0.503,0.02,-0.04,0.03,0.06
0.513,0.05,-0.07,0.04,0.09
0.523,0.00,-0.06,0.06,0.09
0.533,-0.00,-0.07,0.08,0.11
0.543,0.04,-0.07,0.16,0.18
0.553,0.10,-0.05,0.20,0.23
0.563,0.17,-0.02,0.14,0.22
0.573,0.22,0.01,0.06,0.22
0.583,0.23,0.02,-0.02,0.23
0.593,0.25,0.01,-0.06,0.25
0.603,0.22,-0.01,-0.09,0.24
0.613,0.16,-0.03,-0.11,0.19
0.624,0.12,-0.04,-0.11,0.17
0.634,0.05,0.00,-0.10,0.11
0.644,-0.02,0.07,-0.09,0.12
0.654,-0.07,0.12,-0.09,0.17
0.664,-0.08,0.13,-0.09,0.17
0.674,-0.03,0.09,-0.07,0.12
0.684,0.03,0.06,-0.06,0.09
0.694,0.10,0.04,-0.07,0.13
0.704,0.11,0.05,-0.11,0.16
0.714,0.12,0.05,-0.12,0.18
0.724,0.13,0.08,-0.16,0.22
0.734,0.11,0.10,-0.20,0.25
0.744,0.14,0.10,-0.21,0.27
0.754,0.02,0.02,-0.20,0.21
0.764,-0.03,0.00,-0.16,0.16
0.774,-0.05,0.00,-0.11,0.13
0.785,-0.12,-0.01,-0.02,0.12
0.794,-0.13,0.01,0.01,0.13
0.805,-0.16,0.03,-0.00,0.16
0.815,-0.13,0.06,-0.02,0.14
0.825,-0.12,0.03,0.01,0.13
0.835,-0.12,-0.01,0.06,0.13
0.845,-0.09,-0.03,0.06,0.11
0.855,-0.05,-0.02,0.04,0.07
0.865,0.02,-0.01,0.04,0.05
0.875,0.09,-0.03,0.07,0.12
0.885,0.14,-0.06,0.05,0.16
0.895,0.15,-0.05,-0.01,0.16
0.905,0.14,-0.05,-0.01,0.15
0.915,0.14,-0.08,0.05,0.17
0.925,0.16,-0.11,0.13,0.23
0.935,0.19,-0.12,0.15,0.27
0.945,0.19,-0.12,0.12,0.26
0.955,0.15,-0.10,0.09,0.21
0.965,0.13,-0.11,0.13,0.21
0.975,0.11,-0.11,0.17,0.23
0.986,0.05,-0.06,0.16,0.18
0.996,-0.06,-0.04,0.13,0.15
1.006,-0.17,-0.02,0.12,0.20
1.016,-0.19,-0.01,0.09,0.21
1.026,-0.14,-0.04,0.06,0.16
1.036,-0.05,-0.06,0.06,0.10
1.046,0.07,-0.08,0.07,0.13
1.056,0.17,-0.07,0.07,0.20
1.066,0.25,-0.05,0.11,0.28
1.076,0.30,-0.03,0.10,0.32
1.086,0.33,-0.04,0.09,0.34
1.096,0.33,-0.06,0.12,0.35
1.106,0.33,-0.06,0.11,0.35
1.116,0.28,-0.08,0.09,0.31
1.126,0.24,-0.09,0.06,0.26
1.136,0.20,-0.07,-0.02,0.21
1.146,0.14,-0.05,-0.05,0.16
1.157,0.10,-0.05,-0.02,0.11
1.167,0.04,-0.03,0.03,0.05
1.177,0.01,-0.01,0.12,0.12
1.187,0.07,-0.03,0.19,0.20
