time,ax,ay,az,atotal
0.000,0.12,-0.09,1.05,1.06
0.010,0.24,-0.22,1.25,1.29
0.020,0.25,-0.35,1.00,1.09
0.030,0.15,-0.31,0.47,0.58
0.040,0.06,-0.13,-0.06,0.15
0.050,0.01,0.02,-0.47,0.47
0.060,0.01,0.05,-0.62,0.62
0.070,0.04,0.03,-0.42,0.43
0.080,0.09,-0.02,-0.07,0.11
0.091,0.13,-0.07,0.19,0.24
0.101,0.10,-0.08,0.28,0.31
0.111,0.07,-0.07,0.21,0.23
0.121,0.03,-0.06,0.01,0.07
0.131,-0.00,-0.06,-0.10,0.11
0.141,-0.00,-0.04,-0.13,0.13
0.151,-0.02,-0.02,-0.13,0.13
0.161,-0.01,-0.01,-0.06,0.06
0.171,-0.00,0.03,0.02,0.03
0.181,0.01,0.07,0.03,0.07
0.191,0.06,0.12,-0.06,0.15
0.201,0.05,0.13,-0.16,0.22
0.211,0.05,0.10,-0.20,0.23
0.221,0.02,0.04,-0.18,0.18
0.231,-0.00,-0.03,-0.09,0.10
0.241,-0.03,-0.10,0.01,0.10
0.252,-0.02,-0.14,0.08,0.16
0.262,-0.01,-0.15,0.13,0.20
0.272,-0.00,-0.12,0.16,0.20
0.282,-0.01,-0.09,0.16,0.19
0.292,-0.00,-0.06,0.11,0.13
0.302,0.01,-0.03,0.07,0.08
0.312,0.00,-0.01,0.04,0.04
0.322,0.02,-0.01,0.04,0.04
0.332,0.01,-0.03,0.06,0.07
0.342,0.02,-0.04,0.07,0.09
0.352,0.03,-0.06,0.08,0.10
0.362,0.04,-0.06,0.10,0.12
0.372,0.05,-0.03,0.10,0.12
0.382,0.05,-0.03,0.07,0.09
0.392,0.02,-0.04,0.03,0.05
0.402,-0.00,-0.04,0.01,0.04
0.412,0.03,-0.05,-0.01,0.06
0.422,0.05,-0.05,-0.00,0.07
0.432,0.07,-0.03,-0.01,0.08
0.442,0.07,-0.03,-0.02,0.08
0.453,0.04,-0.02,-0.01,0.05
0.463,0.04,-0.04,-0.00,0.06
0.473,0.05,-0.04,0.00,0.06
0.483,0.02,-0.05,-0.05,0.07
0.493,0.01,-0.05,-0.06,0.07
0.503,0.00,-0.03,-0.05,0.06
0.513,0.00,-0.03,-0.04,0.05
0.523,0.01,-0.01,0.01,0.02
0.533,0.03,-0.02,0.02,0.04
0.543,0.04,-0.02,0.04,0.07
0.553,0.04,-0.02,0.08,0.09
0.563,0.04,-0.04,0.05,0.08
0.573,0.02,-0.05,0.03,0.06
0.583,0.02,-0.03,0.02,0.04
0.593,0.02,-0.03,0.05,0.06
0.603,0.00,-0.01,0.06,0.06
0.613,0.02,0.01,0.05,0.05
0.624,0.01,0.00,0.02,0.02
0.634,0.01,-0.00,-0.02,0.02
0.644,0.04,-0.01,-0.01,0.05
0.654,0.05,-0.05,0.01,0.07
0.664,0.03,-0.07,0.02,0.08
0.674,0.02,-0.08,0.03,0.09
0.684,0.01,-0.06,0.04,0.07
0.694,-0.01,-0.03,0.03,0.04
0.704,-0.01,0.01,-0.01,0.02
0.714,0.00,0.03,-0.04,0.05
0.724,-0.01,0.03,-0.01,0.03
0.734,-0.01,0.02,0.02,0.03
0.744,-0.02,-0.02,0.03,0.04
0.754,-0.00,-0.07,0.05,0.09
0.764,-0.00,-0.08,0.06,0.10
0.774,-0.01,-0.08,0.07,0.11
0.784,0.00,-0.07,0.05,0.09
0.794,0.03,-0.05,0.05,0.08
0.805,0.04,-0.03,0.04,0.07
0.815,0.03,-0.02,0.06,0.07
0.825,0.05,0.02,0.02,0.05
0.835,0.05,0.06,-0.04,0.09
0.845,0.06,0.07,-0.11,0.14
0.855,0.04,0.08,-0.12,0.15
0.865,0.04,0.04,-0.08,0.10
0.875,0.04,-0.01,0.01,0.04
0.885,0.03,-0.09,0.09,0.13
0.895,0.03,-0.14,0.13,0.19
0.905,0.03,-0.17,0.12,0.21
0.915,0.02,-0.14,0.09,0.16
0.925,0.01,-0.08,0.03,0.09
0.935,0.02,-0.03,0.02,0.04
0.945,0.03,-0.01,0.02,0.04
0.955,-0.00,-0.01,0.01,0.01
0.965,0.01,-0.02,0.01,0.02
0.975,0.00,-0.02,0.02,0.03
0.986,0.01,-0.04,0.04,0.06
0.996,0.01,-0.04,0.05,0.07
1.006,-0.00,-0.05,0.03,0.06
1.016,0.02,-0.01,0.03,0.04
1.026,0.02,0.00,0.01,0.03
1.036,0.01,0.00,-0.03,0.03
1.046,0.01,0.01,-0.02,0.02
1.056,0.02,0.01,0.00,0.03
1.066,0.03,0.00,0.01,0.03
1.076,0.02,0.00,0.02,0.03
1.086,0.02,0.01,0.01,0.02
1.096,0.00,0.01,0.02,0.03
