time,ax,ay,az,atotal
0.000,0.20,-0.07,0.38,0.43
0.010,0.19,-0.20,0.77,0.81
0.020,0.12,-0.25,0.95,0.99
0.030,0.07,-0.22,0.76,0.79
0.040,0.06,-0.13,0.26,0.30
0.050,0.00,-0.02,-0.19,0.19
0.060,-0.03,0.05,-0.47,0.47
0.070,0.02,0.06,-0.49,0.50
0.080,0.11,0.04,-0.27,0.29
0.090,0.13,-0.01,0.01,0.14
0.100,0.13,-0.07,0.18,0.23
0.110,0.07,-0.10,0.24,0.27
0.120,0.05,-0.08,0.16,0.19
0.131,0.03,-0.06,0.03,0.07
0.141,0.03,-0.04,-0.06,0.08
0.151,0.04,-0.03,-0.10,0.11
0.161,0.06,-0.03,-0.07,0.09
0.171,0.09,-0.04,0.00,0.10
0.181,0.09,-0.06,0.03,0.11
0.191,0.08,-0.04,0.05,0.11
0.201,0.06,-0.03,0.03,0.08
0.211,0.05,-0.02,0.01,0.06
0.221,0.04,-0.02,-0.01,0.04
0.231,0.06,-0.03,-0.02,0.07
0.241,0.06,-0.04,0.00,0.07
0.251,0.06,-0.05,0.02,0.08
0.261,0.09,-0.06,0.03,0.11
0.271,0.07,-0.04,0.02,0.09
0.281,0.06,-0.03,0.02,0.07
0.291,0.05,-0.03,-0.01,0.06
0.302,0.04,-0.04,-0.02,0.06
0.312,0.02,-0.03,-0.00,0.04
0.322,0.02,-0.02,0.03,0.04
0.332,0.01,-0.02,0.06,0.07
0.342,0.04,-0.06,0.02,0.07
0.352,0.07,-0.08,-0.02,0.11
0.362,0.09,-0.08,-0.03,0.12
0.372,0.07,-0.06,-0.03,0.10
0.382,0.03,-0.04,-0.02,0.05
0.392,0.03,-0.01,0.00,0.03
0.402,0.04,0.04,0.04,0.07
0.412,0.07,0.08,0.04,0.11
0.422,0.12,0.08,-0.05,0.15
0.432,0.13,0.08,-0.09,0.18
0.442,0.10,0.04,-0.09,0.14
0.452,0.04,-0.00,-0.06,0.07
0.463,0.01,-0.03,0.04,0.05
0.472,0.02,-0.08,0.07,0.11
0.483,0.02,-0.15,0.09,0.18
0.493,0.04,-0.15,0.10,0.18
0.503,0.02,-0.15,0.05,0.16
0.513,0.04,-0.09,0.02,0.10
0.523,0.04,-0.06,0.00,0.08
0.533,0.02,-0.04,-0.02,0.05
0.543,0.02,-0.03,0.00,0.03
0.553,0.02,-0.03,0.04,0.05
0.563,0.05,-0.05,0.05,0.08
0.573,0.07,-0.04,0.03,0.08
